"filename", "language", "Go", "HTML", "Markdown", "YAML", "Shell Script", "Go Checksum File", "JSON", "Go Module File", "TypeScript", "JSON with Comments", "JavaScript", "CSV", "XML", "vue", "SCSS", "comment", "blank", "total"
"/Users/jerichoyu/Development/Projects/go/aid297/aid/operation/ternary.go", "Go", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 41
"/Users/jerichoyu/Development/Projects/go/aid297/aid/ptr/new.go", "Go", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/jerichoyu/Development/Projects/go/aid297/aid/ptr/new_test.go", "Go", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/app.go", "Go", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/db.yaml", "YAML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/edge.go", "Go", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 225
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/edge_attribute.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 51
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/edge_test.go", "Go", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 113
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/group.go", "Go", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 56
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/permission.go", "Go", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 131
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/permission_attribute.go", "Go", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/role.go", "Go", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 150
"/Users/jerichoyu/Development/Projects/go/aid297/aid/rbac/role_attribute.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/jerichoyu/Development/Projects/go/aid297/aid/redisPool/app.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/jerichoyu/Development/Projects/go/aid297/aid/redisPool/redis.set.go", "Go", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 43
"/Users/jerichoyu/Development/Projects/go/aid297/aid/redisPool/redis_pool.go", "Go", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 119
"/Users/jerichoyu/Development/Projects/go/aid297/aid/reflection/reflection.go", "Go", 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 54, 433
"/Users/jerichoyu/Development/Projects/go/aid297/aid/reflection/reflection_attributer.go", "Go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/jerichoyu/Development/Projects/go/aid297/aid/regexp/app.go", "Go", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/jerichoyu/Development/Projects/go/aid297/aid/regexp/regexp.go", "Go", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 82
"/Users/jerichoyu/Development/Projects/go/aid297/aid/regexp/regexp_attributer.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
